flow_bucket,n,exret_now,exret_now_win,exret_next,exret_next_win,exret_next_t,exret_next_p
大幅流出,540,-0.04175796424557003,0.21851851851851853,0.008096150005887296,0.48405253283302063,1.9346192963225552,0.053566855978145304
流出,434,-0.023887941287951388,0.3225806451612903,-0.001811801540669023,0.46261682242990654,-0.4437617909042027,0.6574395955733462
中性,465,-0.008465905450510725,0.4326710816777042,0.0024022681764206784,0.47533632286995514,0.623644407542956,0.5331806699588307
流入,434,0.01818580285407846,0.5957943925233645,-0.0018138547300877116,0.4549763033175355,-0.4143325327597183,0.6788416125741574
大幅流入,465,0.062431462842919165,0.7693965517241379,-0.009068156685704593,0.4139433551198257,-2.574355421794852,0.010355800167402692
