date,kind,flow_score,sh_ret,alla_ret,ret_next1,alla_next1,scissors,m2_yoy,amount_yoy,north_yi,rz_chg,ipo_yi,eq_fund_raise,inc_capital,pe,pb
2025-12-31,流入年份,0.4114580870849552,0.18410520075554282,0.27436216696150995,-0.014189536489251364,0.003523919317782287,-4.7,8.5,0.2654447880624269,,15666.839467529999,1286.9171894338,3626.98,18006.9022780962,13.34,3.0
2009-12-31,流入年份,0.35530968376986444,0.7998297456344858,1.0741105724454916,-0.14313155468840344,-0.02455920732865413,4.670000000000002,27.68,1.1045030291555262,,,,,,23.99,4.65
2007-12-31,流入年份,0.10573095879000127,0.9665909666847818,1.6908578852055918,-0.6539421841000479,-0.6277526559112179,4.300000000000001,16.7,1.792852721242716,,,,,,43.17,5.91
2019-12-31,流入年份,-0.024445215791705555,0.22303576412167936,0.34165840534573255,0.13866485428133424,0.2706252664636384,-4.299999999999999,8.7,0.5452938483472756,3517.4276000000004,2565.2359219,2487.0989768566997,,3595.5645450433003,12.3,2.37
2020-12-31,流入年份,-0.0881675582397771,0.13866485428133424,0.2706252664636384,0.04799962223612608,0.08253147246374914,-1.5,10.1,0.3230362124444839,2089.3226,4765.19574087,4715.5074695347,,2139.0108713352993,15.66,2.65
2006-12-31,流入年份,-0.12596206348199313,1.3043433698776203,1.1569408812008932,0.9665909666847818,1.6908578852055918,0.5399999999999991,16.94,1.5781009160405794,,,,,,30.66,2.3
2021-12-31,流入年份,-0.1819751629487789,0.04799962223612608,0.08253147246374914,-0.15125028332795298,-0.18570827539487278,-5.5,9.0,0.11965383956481901,4321.6892,2300.2693379500015,5386.7263233759995,,1235.2322145740018,13.37,3.06
2003-12-31,流入年份,-0.18247580705816713,0.10266975238168197,0.10570657669522676,-0.1540021535773164,-0.15227703047618202,-0.9099999999999966,19.58,0.1847481744522772,,,,,,,
2013-12-31,流出年份,-0.8626085678184374,-0.06749288713549884,0.07095892798639136,0.5286912245779494,0.48497143929239095,-4.299999999999999,13.6,0.5040758129589158,,2577.75757217,,,2577.75757217,8.62,2.59
2022-12-31,流出年份,-0.8554543011638465,-0.15125028332795298,-0.18570827539487278,-0.03700662100737451,-0.05220710735448175,-6.000000000000001,11.8,-0.009042043177340364,900.1965999999995,-2675.403215780001,5785.2060821256,,-7560.412697905602,10.59,2.4
2015-12-31,流出年份,-0.7441324271106906,0.09413768360797681,0.34793389939385455,-0.12306374749871574,-0.1301336293589338,1.8999999999999986,13.3,1.262828681760039,185.28509999999994,1539.3433430599998,1545.62135522,,179.00708783999994,13.01,5.28
2008-12-31,流出年份,-0.6945868896770774,-0.6539421841000479,-0.6277526559112179,0.7998297456344858,1.0741105724454916,-8.76,17.82,-0.16068177184454002,,,,,,12.42,2.08
1998-12-31,流出年份,-0.6770413419318547,-0.03969677632229074,-0.03087427720976954,0.19175023981860972,0.19043714682085477,-2.9000000000000004,14.8,-0.03107155973138198,,,,,,,
1996-12-31,流出年份,-0.6611865137658931,0.6514217796106541,0.6602913819781286,0.30215764576049775,0.3178150815250116,-6.400000000000002,25.3,2.2756200402254465,,,,,,,
2014-12-31,流出年份,-0.6083863984237103,0.5286912245779494,0.48497143929239095,0.09413768360797681,0.34793389939385455,-9.0,12.2,0.4808897705519173,685.7047,6739.02724426,747.6954146293,,6677.0365296307,12.74,3.28
2005-12-31,流出年份,-0.5390743573946152,-0.08325253297286372,-0.09775241798139578,1.3043433698776203,1.1569408812008932,-5.790000000000001,17.57,-0.36053986466713894,,,,,,12.61,1.62
