freq,component,flow_bucket,n,flow_score_mean,sh_ret_mean,ret_next1_mean,ret_next1_win,ret_next1_n,ret_next1_t,ret_next1_p,ret_next4_mean,ret_next4_win,ret_next4_n,ret_next4_t,ret_next4_p,alla_next1_mean,alla_next1_win,alla_next1_n,alla_next1_t,alla_next1_p,sh_ret_win,sh_ret_n,sh_ret_t,sh_ret_p
quarterly,scissors,大幅流出,25,-0.2540213283575598,0.028664423055221447,0.0736532155272365,0.6,25,2.384758029377893,0.025340446134862842,0.2136474841863298,0.68,25,2.7404406089399087,0.01139635614254701,0.08866189825972726,0.64,25,2.565106648727583,0.016989827233234684,0.56,25,1.0167364980278104,0.3194195996080953
quarterly,scissors,流出,25,-0.3943472249688192,-0.007569441553876906,0.006759029620248085,0.6,25,0.3885207405317532,0.7010559602426406,0.2366797955851115,0.75,24,2.731872846477364,0.011885584841924294,0.020271114835234746,0.6,25,1.0524933112130297,0.3030552607124987,0.44,25,-0.4131034033233879,0.6831984921945293
quarterly,scissors,中性,24,-0.24335347210222955,0.046254642094507824,0.007209151872412251,0.391304347826087,23,0.24493767607812175,0.8087749146789566,0.10527814556464636,0.5909090909090909,22,1.2698325376417052,0.2180355572126206,0.01283130039019977,0.43478260869565216,23,0.41164102960692184,0.6845854093591562,0.4583333333333333,24,1.1188675776843073,0.2747463585216369
quarterly,scissors,流入,25,-0.15463403651905883,-0.0007633796486447109,-0.0022004325401618406,0.4,25,-0.06589279198925552,0.9480090055973397,0.04652486053951917,0.32,25,0.456245253764747,0.6523155672124217,0.002106061801298962,0.4,25,0.05875496033148528,0.9536337692887703,0.48,25,-0.02255241020340782,0.9821937657539862
quarterly,scissors,大幅流入,25,0.10823467221795237,0.052439560893074305,0.03366565932125549,0.6,25,1.0821732064681562,0.2899293130093836,-0.05451332107597358,0.44,25,-1.1237741794723133,0.27222415501282676,0.045740947180703734,0.64,25,1.4748341105823506,0.15325569948171128,0.64,25,1.8275923860873526,0.08007103976355891
annual,scissors,大幅流出,7,-0.5336360536077006,-0.05282641214207232,0.23511001793767297,0.7142857142857143,7,1.7467347027250009,0.13128209990004996,0.5231901315180394,0.8,5,1.8456692847309393,0.1386838146529388,0.34179231560118917,0.8571428571428571,7,2.211474748697744,0.0690030286678038,0.42857142857142855,7,-0.3885915261086436,0.7109930757689991
annual,scissors,流出,7,-0.5109118923303381,-0.02913226714884173,0.21397282789612956,0.5714285714285714,7,1.103970470165791,0.31190173081475625,0.5705462733984777,0.8571428571428571,7,2.0581920075764106,0.08526956784131774,0.2104451220694652,0.5714285714285714,7,1.1883500413665158,0.27959509227392126,0.2857142857142857,7,-0.2436394363000153,0.8156266268408898
annual,scissors,中性,7,-0.26804423701332863,0.225530458664204,0.414929168901095,0.8333333333333334,6,1.5733967135651838,0.17643797079203255,0.3369694816550672,0.6666666666666666,6,2.2597037360676864,0.07337893682238561,0.45291516000090626,0.8333333333333334,6,1.6277966980281442,0.16449669244542955,0.5714285714285714,7,1.2132274716753078,0.2706336838552625
annual,scissors,流入,7,-0.3310394089552983,0.22192167689689768,0.04467908588184921,0.2857142857142857,7,0.28018268587606865,0.7887467047581862,0.6227328274793722,0.8571428571428571,7,1.8184395723842577,0.11887703427358542,0.14202519606150135,0.2857142857142857,7,0.5412652831515258,0.6078201184023232,0.7142857142857143,7,1.1653514187032552,0.28810531535745176
annual,scissors,大幅流入,7,-0.10563876253031089,0.5833832617474952,-0.08541010254547572,0.42857142857142855,7,-0.6281080128301006,0.5530740401928034,-0.11933593756142262,0.5714285714285714,7,-1.015433561340506,0.3490829945690973,-0.08179079848743685,0.42857142857142855,7,-0.6164787623713653,0.560225703330669,0.8571428571428571,7,2.49834543085176,0.04663250651683764
quarterly,amount_yoy,大幅流出,28,-0.2770453342890743,-0.05710861890507017,-0.014155728915558148,0.5,28,-0.7880166325645082,0.43755102475618707,0.09336044485144415,0.5925925925925926,27,1.5335467447254123,0.1372207627935304,-0.010572425945936048,0.5,28,-0.543487508702075,0.5912537307050053,0.39285714285714285,28,-2.745813174479957,0.010608521506581328
quarterly,amount_yoy,流出,28,-0.2444014422655922,-0.014018277759824385,0.003755083772103675,0.4642857142857143,28,0.15859441724143925,0.8751687182497999,0.09253642869427713,0.4642857142857143,28,1.3425245033481086,0.19060543158476156,0.007329333958596231,0.4642857142857143,28,0.2799649119355288,0.7816381864242229,0.35714285714285715,28,-0.8024391014209302,0.42930597786859115
quarterly,amount_yoy,中性,27,-0.2714397224115465,-0.001447150845073651,0.03894831107927173,0.5384615384615384,26,1.2590053334634093,0.2196578509244303,0.08945327449417947,0.56,25,1.8829777874319966,0.07187959344581181,0.03807461319132735,0.5,26,1.2409788382224494,0.22613287364739593,0.5185185185185185,27,-0.1088262510776277,0.9141758534079538
quarterly,amount_yoy,流入,28,-0.12672510532066894,0.059656619015496244,0.10614878525257367,0.5,28,1.3026032245957107,0.20371186741678676,0.21186108763788075,0.6428571428571429,28,1.8945761932871172,0.06890580483948654,0.1280809047453008,0.5714285714285714,28,1.4895297628305182,0.14793746334988794,0.6071428571428571,28,2.052790402817425,0.0499002910472616
quarterly,amount_yoy,大幅流入,28,-0.12064584157079744,0.22557377056744238,0.058717936155538726,0.6071428571428571,28,1.3366522110041248,0.19249119708243795,0.10944352389237406,0.5,28,1.1516422199895244,0.2595642630060974,0.08124863329539005,0.6785714285714286,28,1.690314400019839,0.10248279551159138,0.75,28,2.605404807890851,0.014747547300212709
annual,amount_yoy,大幅流出,7,-0.37321649026301423,-0.1557776863582086,0.2519701454614601,0.7142857142857143,7,1.2257589648160923,0.2662144265931554,0.6913882415340579,0.8571428571428571,7,2.378978482125262,0.05484451600260806,0.22492000344742355,0.7142857142857143,7,1.1734611128628436,0.285079534443468,0.0,7,-8.757238330706683,0.00012278452637652594
annual,amount_yoy,流出,7,-0.542956550983275,-0.10858164702198093,0.1455238816470408,0.5714285714285714,7,1.1631162019594405,0.28894408817233846,0.23573283497507136,1.0,6,6.27244815674972,0.0015120610900667608,0.19177747157323594,0.5714285714285714,7,1.1617879582274553,0.2894435006323402,0.2857142857142857,7,-0.9693340519179522,0.3698138488606881
annual,amount_yoy,中性,7,-0.1903727099582817,0.06825716213852615,-0.037315505670327175,0.3333333333333333,6,-0.6972583843703075,0.5167229980028992,0.6751106028677347,0.8,5,1.442504734678988,0.22262698081383941,-0.0013141927401333537,0.5,6,-0.018322186035513704,0.9860904850967418,0.8571428571428571,7,1.6248156278717951,0.15532741508107709
annual,amount_yoy,流入,7,-0.3455537969596616,0.3267466115308695,0.11519923607172203,0.5714285714285714,7,0.9972790008073517,0.3571336762717605,-0.0681345171977916,0.2857142857142857,7,-0.550793685979297,0.6016651047567219,0.17713970982334645,0.5714285714285714,7,1.5689359728303014,0.1677126157091554,0.8571428571428571,7,2.8832316464545333,0.027939485532875546
annual,amount_yoy,大幅流入,7,-0.2271392061526283,0.8182322777284768,0.28329685847974356,0.5714285714285714,7,0.9492456311809441,0.37914593811661523,0.42894908517037494,0.8571428571428571,7,1.8499675370658466,0.1137952416632844,0.4079740956073183,0.5714285714285714,7,1.132863274426587,0.30050211453610665,0.8571428571428571,7,3.1262168389546257,0.020422663776202374
quarterly,rz_chg,大幅流出,13,-0.19911509144592177,-0.06671081168964246,0.02885162070136578,0.5384615384615384,13,1.041285324893241,0.31826853305988173,0.058176003244867776,0.7692307692307693,13,2.217737996448626,0.046627674590538494,0.0458159826022813,0.6923076923076923,13,1.2439054201738913,0.23728513184375802,0.23076923076923078,13,-2.660127058249127,0.020786536635784614
quarterly,rz_chg,流出,13,-0.270755627217583,-0.0232731766233944,-0.011943411558748281,0.38461538461538464,13,-0.6075033688525837,0.5548391429329866,-0.0648837324578823,0.23076923076923078,13,-2.1717045179200314,0.05064022197975765,-0.006436773906280553,0.5384615384615384,13,-0.24839558413958587,0.8080283085063785,0.46153846153846156,13,-0.9323375630659971,0.3695416765440216
quarterly,rz_chg,中性,13,-0.17193133586339002,-0.011940684036723472,0.017257912793224837,0.6153846153846154,13,0.8764136561664689,0.39801034252888773,0.1581938199397916,0.6153846153846154,13,1.4744070918138086,0.16611791211221763,0.03120710627141238,0.6923076923076923,13,1.2460090793925882,0.2365387385347474,0.3076923076923077,13,-0.9623040673396391,0.354887892622353
quarterly,rz_chg,流入,13,-0.11131568591469708,0.01759292608690804,-0.0009923376076926666,0.46153846153846156,13,-0.057295456559548694,0.9552528379374434,0.06342596387017442,0.6666666666666666,12,1.1751525590618186,0.26474407439009356,0.010141995848555916,0.38461538461538464,13,0.4874863643701254,0.6346979395618466,0.5384615384615384,13,1.0326834414931196,0.3221164961709769
quarterly,rz_chg,大幅流入,13,-0.021678967624411793,0.13084486935339917,0.03350077870633774,0.5833333333333334,12,0.7063797745735372,0.4946423021681655,0.004912826784515049,0.5454545454545454,11,0.08880278636133977,0.930991942142264,0.03921514654808412,0.5833333333333334,12,0.8087177473183458,0.4358199877591385,1.0,13,4.959576133436409,0.0003310099335659492
annual,rz_chg,大幅流出,3,-0.6231250499802147,-0.09016515468125896,0.12337811462328256,0.6666666666666666,3,1.5236377763259508,0.26706429919663177,0.2526103982785177,1.0,2,,,0.18793782165092024,0.6666666666666666,3,1.545111081615008,0.2623375731281043,0.3333333333333333,3,-0.8064337561751294,0.5046430285139043
annual,rz_chg,流出,3,-0.35299725171854884,-0.10270728186982077,0.009927280771980388,0.6666666666666666,3,0.24863702297801576,0.8268428678811517,0.3653146200906745,1.0,3,2.5819311840545587,0.1229465048726556,0.056866162964674206,1.0,3,4.868436517203611,0.03969585165420202,0.3333333333333333,3,-1.41783468479672,0.2919896744749873
