flow_bucket,n,flow_score_mean,sh_ret_mean,ret_next1_mean,ret_next1_win,ret_next1_n,ret_next1_t,ret_next1_p,ret_next4_mean,ret_next4_win,ret_next4_n,ret_next4_t,ret_next4_p,alla_next1_mean,alla_next1_win,alla_next1_n,alla_next1_t,alla_next1_p,alla_next4_mean,alla_next4_win,alla_next4_n,alla_next4_t,alla_next4_p,sh_ret_win,sh_ret_n,sh_ret_t,sh_ret_p
大幅流出,26,-0.6300748571455307,-0.028019127908219102,0.030168991627795332,0.5769230769230769,26,0.831353004803065,0.41364449371778794,0.19465279955516987,0.6923076923076923,26,2.499853198584176,0.019349503809918372,0.040679709121799176,0.5769230769230769,26,1.0490192881664715,0.3042051335868513,0.2569719528661169,0.6923076923076923,26,2.7157800519380197,0.011818083038949042,0.3076923076923077,26,-1.0637923753485605,0.29759050761179645
流出,26,-0.43508579278159315,0.036176358598625176,0.007685018479730346,0.46153846153846156,26,0.24711933283334395,0.8068339994380084,0.17167380617592115,0.5769230769230769,26,2.1814589902199697,0.03876301389411881,0.006721780434123175,0.46153846153846156,26,0.2086741118970014,0.8363935330694697,0.18119032494914256,0.5769230769230769,26,2.333511346930588,0.027961052061403934,0.5,26,0.8826502313933197,0.3858340042098668
中性,27,-0.24885659884651348,-0.0004664147147173402,0.03614911570958513,0.5185185185185185,27,1.1202845730632873,0.27283453391857476,0.17957724430403132,0.5925925925925926,27,1.8578000320379182,0.07455748372591418,0.04081788836636086,0.5555555555555556,27,1.2875288944095977,0.20925333349073222,0.23189919189376168,0.6296296296296297,27,1.9809725885702614,0.058264285948204424,0.5555555555555556,27,-0.02119661141552219,0.9832506542264322
流入,26,-0.05852412307698477,0.030655219598940728,0.0034414661620879626,0.44,25,0.11984694474104966,0.9056020117179827,-0.03140967956951379,0.43478260869565216,23,-0.7450719995746532,0.46411417327332877,-0.003977549932056044,0.44,25,-0.14228988129648312,0.8880388198410863,-0.015388948259486494,0.43478260869565216,23,-0.36448354592795856,0.7189769714869084,0.5769230769230769,26,1.2168428011127752,0.23502727667841633
大幅流入,27,0.29369495037424664,0.07183445930035398,0.03725023462788662,0.5555555555555556,27,1.300021642776921,0.2050010213015074,0.007083472120458772,0.4444444444444444,27,0.11282975591729463,0.9110321893812912,0.07763976907246566,0.6296296296296297,27,2.2882687498795575,0.030497152282938637,0.09446876856454234,0.6296296296296297,27,1.1305165049065797,0.2685799100360312,0.5925925925925926,27,2.023311120907091,0.05343466448640314
