industry,n,start,corr_now,corr_next,p_next,top_next_ex,bot_next_ex,spread_next
银行,49,2014-06-30,0.6229756188446017,-0.46260578831991345,0.0008177820456124671,-0.06301621521904595,0.049199674480548614,-0.11221588969959456
石油石化,18,2022-03-31,0.6108610130728136,-0.4087686686454145,0.09213015134067415,-0.11787625121888956,0.05360381906109949,-0.17148007027998904
电子,106,2000-03-31,0.698702398432341,-0.2756997962102496,0.004229665624280609,-0.019105279225323565,0.08711875222646187,-0.10622403145178544
汽车,49,2014-06-30,0.5630392426747262,-0.2700387753987834,0.06058650524347228,-0.021273972767896054,0.049906279604007994,-0.07118025237190405
环保,18,2022-03-31,-0.03719450278453753,-0.2485524977541274,0.31996184270002254,-0.03847957409803068,-0.0261383403783486,-0.012341233719682085
公用事业,106,2000-03-31,0.4302862322618996,-0.24140819677467845,0.012668035169769639,-0.03571481005367511,0.010671822258274725,-0.04638663231194984
传媒,49,2014-06-30,0.6601706077173537,-0.18301836733931548,0.20813174666154505,-0.036189010375362575,-0.013000655054959138,-0.023188355320403437
综合,106,2000-03-31,0.3566007148876223,-0.15502114145944826,0.1125751046341917,-0.031669443792520485,0.008146214316025285,-0.03981565810854577
钢铁,106,2000-03-31,0.4915307984785372,-0.14726565338888828,0.13195384203255867,-0.017265869017962333,0.011339246117478658,-0.028605115135440992
房地产,106,2000-03-31,0.3742506053366834,-0.14323154524962284,0.14299246399668586,-0.00700658608279934,0.04748074228594665,-0.05448732836874599
家用电器,106,2000-03-31,0.4077185213844503,-0.1372845818468458,0.16051954048027234,-0.015190492566360542,0.015796421474776588,-0.03098691404113713
非银金融,49,2014-06-30,0.7494667754349403,-0.13141087073623303,0.36809844938308256,-0.0211298707387398,-0.006321325392572576,-0.014808545346167224
商贸零售,106,2000-03-31,0.40612095598484804,-0.1226718212026232,0.2102981417086413,-0.022643833520575543,0.0033814787219638622,-0.026025312242539407
轻工制造,106,2000-03-31,0.35657109974902496,-0.10225521928309565,0.29693156340519705,-0.016003912160220648,-0.0002217007578379195,-0.01578221140238273
纺织服饰,106,2000-03-31,0.4282727420184715,-0.1006936688405641,0.304408381044058,-0.014988711016902192,-0.0012201823115890837,-0.013768528705313109
机械设备,49,2014-06-30,0.38374080605440714,-0.09775939017357432,0.5039718700509103,-0.008972015411452438,0.01539548164451603,-0.024367497055968468
食品饮料,106,2000-03-31,0.4996315792472,-0.09675968390034674,0.3237860032785396,-0.032421747541149536,0.022648041374269925,-0.05506978891541946
电力设备,49,2014-06-30,0.35327372037771776,-0.08346878845929503,0.5685456847267027,-0.007667904000013484,-0.0039805727320302575,-0.003687331267983226
医药生物,106,2000-03-31,0.5333645162365256,-0.08132860327804853,0.40723163934563217,-0.006467305099947023,0.00524497215215172,-0.011712277252098743
基础化工,106,2000-03-31,0.4118439055309894,-0.06634634921980842,0.4992163075737329,-0.006785859305175736,0.007322870118751879,-0.014108729423927616
国防军工,49,2014-06-30,0.5294394444476838,-0.06451896143883308,0.6596234558315003,-0.022892127487503598,-0.0036468728182752486,-0.01924525466922835
社会服务,106,2000-03-31,0.3172321867412548,-0.05209519590605038,0.5958667113884277,-0.015744414640125926,0.007618651190469228,-0.023363065830595154
建筑材料,49,2014-06-30,0.2595244573932322,-0.03017063806667691,0.8369555822596993,-0.010648363604013842,0.021392841645013465,-0.03204120524902731
农林牧渔,106,2000-03-31,0.3538935183754154,-0.023815167115220515,0.8085327690799938,0.001759597665475509,0.00544644940811559,-0.003686851742640081
通信,49,2014-06-30,0.6015977393473081,-0.018655346980355838,0.8987605205386372,0.0011722257394410156,0.005454321734192696,-0.00428209599475168
计算机,49,2014-06-30,0.6144696303604539,0.016326124254816044,0.9113467572469534,0.015117677574255837,0.013541742527872495,0.0015759350463833421
有色金属,106,2000-03-31,0.6371094455275685,0.01685268962502142,0.863858983174781,-0.006283228515080983,0.0026957725360834957,-0.00897900105116448
建筑装饰,49,2014-06-30,0.6346669599106027,0.06736267288047927,0.645596039127291,0.012531528855052298,-0.01993578025143159,0.03246730910648389
美容护理,18,2022-03-31,0.4949513091211842,0.08439733319678201,0.7391673555943601,-0.03180125593242358,-0.054649863998007794,0.02284860806558421
交通运输,106,2000-03-31,0.3368623640132891,0.10105657803825584,0.3026598537713174,-0.006761683730335608,-0.013783759426856595,0.007022075696520987
煤炭,30,2014-06-30,0.6629219358254105,0.33940364479936896,0.06652106617067068,0.10738214860509372,-0.03990037607568986,0.14728252468078357
