industry,n,start,corr_now,corr_next,p_next,top_next_ex,bot_next_ex,spread_next
轻工制造,26,2000-12-31,0.22587539624110806,-0.794362696757288,1.2651177694106303e-06,-0.07035251865835579,0.04889223909899543,-0.11924475775735122
农林牧渔,26,2000-12-31,0.6762641119235958,-0.5973811880937927,0.0012715857927665841,-0.11485659533049845,0.05143624917446349,-0.16629284450496196
纺织服饰,26,2000-12-31,0.38421226186653157,-0.3226350463383931,0.10793592725690063,-0.038372594207645695,0.06349087179937841,-0.10186346600702412
社会服务,26,2000-12-31,0.3371025640862822,-0.20564546151847551,0.31352928602459795,-0.006162942533825451,0.05267743426705122,-0.05884037680087667
房地产,26,2000-12-31,0.36485789578841427,-0.1443017408241659,0.4818660217972739,-0.14903218811195673,-0.014282516994445318,-0.1347496711175114
医药生物,26,2000-12-31,0.548039168609876,-0.07472901473960282,0.7167449960420326,-0.0062899239186648805,0.0024823804067583646,-0.008772304325423246
基础化工,26,2000-12-31,0.3801099114345387,-0.060997420732254656,0.7672254925096784,-0.02179605271071258,0.0025415821449800563,-0.024337634855692635
综合,26,2000-12-31,0.34667923590253213,0.038057896704821834,0.8535581144947645,0.04781408466252976,0.03707448670631141,0.010739597956218351
商贸零售,26,2000-12-31,0.3108356255736227,0.050878124725801284,0.8050404381558796,0.02349801566084107,-0.015823282925555574,0.039321298586396644
食品饮料,26,2000-12-31,0.4243727246997449,0.10731041667069054,0.6018249747826134,0.044693771612443554,-0.07539907712778086,0.12009284874022441
家用电器,26,2000-12-31,0.2983953203409754,0.12794009756312125,0.5333811846873442,-0.025261734152270288,-0.010631175825008263,-0.014630558327262025
钢铁,26,2000-12-31,0.4905066514215247,0.14931454228151442,0.46660758503337896,-0.01839798901453699,-0.06543080286438047,0.04703281384984348
电子,26,2000-12-31,0.5733689849252547,0.23842835059931508,0.2408077106113188,0.05377762051757542,-0.07054201969786088,0.12431964021543629
公用事业,26,2000-12-31,0.2876580923865474,0.3575529548355959,0.07292151286852931,0.023261848248637574,-0.18419312470880586,0.20745497295744345
有色金属,26,2000-12-31,0.5074767598254672,0.38896257012756724,0.049540898346614896,0.17918455494167407,-0.08955109451278405,0.2687356494544581
交通运输,26,2000-12-31,0.22439058220143138,0.44060516984465364,0.024269892316125467,0.09949756286180285,-0.08554245035655068,0.18504001321835353
