date,top_ret,bot_ret,spread,top_ex,bot_ex,n
2000-12-31,-0.19914266693990038,-0.2095563002897011,0.010413633349800722,0.04034334735316294,0.029929714003362213,16
2001-12-31,-0.19674747991970812,-0.24136792062889278,0.04462044070918467,-0.00668643159439523,-0.05130687230357989,16
2002-12-31,-0.06280650714025911,-0.12464450899580148,0.06183800185554238,0.00016843679122586588,-0.061669565064316506,16
2003-12-31,-0.0919450740261466,-0.1599513314820987,0.0680062574559521,0.053941317208982265,-0.014064940246969823,16
2004-12-31,-0.15044314168715653,-0.1526168452967371,0.0021737036095805795,-0.03398025183366845,-0.03615395544324903,16
2005-12-31,0.7724595337332527,0.5670157370643091,0.20544379666894363,-0.17200529548653334,-0.3774490921554771,16
2006-12-31,1.8419305379804154,1.7821494246985896,0.05978111328182578,0.08609539755794023,0.026314284276114746,16
2007-12-31,-0.6407723945080573,-0.6689238391322321,0.028151444624174737,-0.020545548272356846,-0.048696992896531656,16
2008-12-31,1.0963095571265191,0.756660180175405,0.3396493769511141,-0.05713077944172832,-0.3967801563928423,16
2009-12-31,0.09209035526355143,-0.06255317910880898,0.1546435343723604,0.04661204006451682,-0.10803149430784359,16
2010-12-31,-0.3448167627762026,-0.2765349887355098,-0.0682817740406928,-0.05846346196619686,0.009818312074495942,16
2011-12-31,0.030426281394431227,0.011646518484663804,0.018779762909767423,0.006857600177563016,-0.011922162732204408,16
2012-12-31,0.07826645384861282,-0.008577338821922464,0.08684379267053528,-0.02613101894171303,-0.11297481161224832,16
2013-12-31,0.3008734875627011,0.44253487216183607,-0.14166138459913497,-0.0714753545958761,0.07018603000325885,16
2014-12-31,0.5047432034020525,0.5218075214401436,-0.017064318038091164,0.03307136394117177,0.050135681979262936,16
2015-12-31,-0.16493926296590666,-0.1039252033070841,-0.06101405965882256,-0.03212105588957706,0.0288930037692455,28
2016-12-31,0.13529227216297263,0.02682923234112422,0.1084630398218484,0.12866557735328393,0.02020253753143551,28
2017-12-31,-0.2899867930728778,-0.3243440197092573,0.03435722663637952,0.014060666441125368,-0.02029656019525411,27
2018-12-31,0.5029811467168517,0.20443584034278298,0.29854530637406873,0.2202693028597003,-0.07827600351436832,27
2019-12-31,0.12373522693272157,0.1533328435200065,-0.029597616587284936,-0.12254264153745287,-0.0929450249501679,27
2020-12-31,0.17307740991248216,0.03865324835122277,0.1344241615612594,0.0911120491725315,-0.043312112388727876,27
2021-12-31,-0.192593802596237,-0.259498651793374,0.06690484919713699,-0.033844082975064034,-0.10074893217220104,28
2022-12-31,-0.09426883380788782,-0.05818045371031394,-0.03608838009757388,-0.02479261006080759,0.011295770036766283,31
2023-12-31,0.14866409328777722,-0.0338714977069253,0.1825355909947025,0.09603046432002986,-0.08650512667467268,31
2024-12-31,0.2386323470394713,0.23185026745411283,0.00678207958535848,0.02179042804857091,0.015008348463212426,31
2025-12-31,0.0824156196549282,-0.13286506348414326,0.21528068313907145,0.13840432324630716,-0.07687635989276427,31
