date,top_ret,bot_ret,spread,top_ex,bot_ex,n
2000-03-31,0.05519568865242541,0.08859273055882226,-0.03339704190639685,-0.02482176012304735,0.008575281783349495,16
2000-06-30,-0.004542280582488141,-0.012105476762519682,0.00756319618003154,-0.0033898094171494523,-0.010953005597180992,16
2000-09-30,0.09448251931595426,0.07235617405269634,0.02212634526325792,0.010162240631514987,-0.011964104631742939,16
2000-12-31,-0.001988776869281006,0.028892136193176283,-0.03088091306245729,-0.0037816723974137614,0.027099240665043534,16
2001-03-31,0.024058346574290623,0.0323905511178962,-0.00833220454360558,-0.008781767424774635,-0.0004495628811690573,16
2001-06-30,-0.22089178152230704,-0.20242306541359367,-0.018468716108713368,-0.012070289003459522,0.0063984271052538455,16
2001-09-30,-0.06142209832641402,-0.05871532325047535,-0.0027067750759386736,0.010838297859747997,0.013545072935686672,16
2001-12-31,-0.04576714128546655,-0.004024746604973391,-0.04174239468049316,-0.02667696300393187,0.015065431676561285,16
2002-03-31,0.08436699975924171,0.0635598836037623,0.020807116155479408,0.011710257578311728,-0.009096858577167674,16
2002-06-30,-0.10766795404983572,-0.0940547703890291,-0.013613183660806619,-0.019888257226533552,-0.00627507356572693,16
2002-09-30,-0.15153848900667063,-0.16209358844626273,0.010555099439592097,0.004642944590979174,-0.005912154848612923,16
2002-12-31,0.07097009231794608,0.09813662208997072,-0.027166529772024633,-0.009213740470935308,0.017952789301089334,16
2003-03-31,-0.02190518049830707,-0.05696777824819695,0.03506259774988989,0.024779298119078672,-0.01028329963081121,16
2003-06-30,-0.08975146463321992,-0.10036886353639958,0.010617398903179656,-0.005501094630143727,-0.016118493533323387,16
2003-09-30,-0.017840862504796218,0.14780128367648881,-0.16564214618128503,-0.0045272037917002406,0.1611149423895848,16
2003-12-31,0.15894141001575046,0.20559381251843342,-0.04665240250268296,-0.05001940718595771,-0.0033670046832747582,16
2004-03-31,-0.24389429052173095,-0.2155801809259862,-0.028314109595744763,-0.023247540955929014,0.0050665686398157495,16
2004-06-30,-0.004563611871683341,0.03720299593373418,-0.04176660780541752,-0.015151356506566025,0.026615251298851495,16
2004-09-30,-0.11574089232714539,-0.09287970823866236,-0.022861184088483033,-0.013848392655011347,0.009012791433471687,16
2004-12-31,-0.08630569745272294,-0.07639752047295693,-0.009908176979766009,-0.012487472730262064,-0.0025792957504960448,16
2005-03-31,-0.12076651293953977,-0.07743267453531721,-0.04333383840422256,-0.03116888035890289,0.012164958045319668,16
2005-06-30,0.032083455185576426,0.08031453466144955,-0.04823107947587313,-0.025348625664075388,0.022882453811797748,16
2005-09-30,-0.003544895806582423,-0.02481549711539373,0.02127060130881131,0.007301305335224588,-0.013969295973586723,16
2005-12-31,0.0931359287999914,0.14344288799771313,-0.050306959197721726,-0.04191942649253925,0.00838753270518248,16
2006-03-31,0.30034881866907487,0.3800924461618487,-0.0797436274927738,-0.060164574276682405,0.01957905321609138,16
2006-06-30,-0.026106445059901118,-0.014449255420520224,-0.011657189639380894,-0.05224512160075765,-0.04058793196137675,16
2006-09-30,0.23179853581395604,0.3598334949429982,-0.12803495912904217,0.004151310573534572,0.13218626970257674,16
2006-12-31,0.511337172898313,0.6080250655100649,-0.09668789261175181,-0.05351590571803703,0.043171986893714785,16
2007-03-31,0.28834072902631425,0.42549516369169327,-0.13715443466537902,-0.01450292258483532,0.1226515120805437,16
2007-06-30,0.3306845291705964,0.45101921990860716,-0.12033469073801079,-0.07078525568918943,0.049549435048821366,16
2007-09-30,-0.12460214487032124,-0.0005799292316153911,-0.12402221563870586,-0.10165325391888148,0.02236896171982437,16
2007-12-31,-0.28374674128753924,-0.21862335626391383,-0.06512338502362541,-0.07715432591730877,-0.01203094089368334,16
