flow_bucket,n,flow_score_mean,sh_ret_mean,ret_next1_mean,ret_next1_win,ret_next1_n,ret_next1_t,ret_next1_p,alla_next1_mean,alla_next1_win,alla_next1_n,alla_next1_t,alla_next1_p,sh_ret_win,sh_ret_n,sh_ret_t,sh_ret_p
大幅流出,7,-0.7290566342702157,0.051695508130112824,0.25092802441334705,0.7142857142857143,7,2.0456854030927025,0.08675873086802076,0.3189896289663126,0.7142857142857143,7,2.1158538642845115,0.07873323770163508,0.42857142857142855,7,0.3123219225545526,0.765365375757572
流出,6,-0.49298180756634924,-0.0689979058584333,0.26591563192187145,0.6666666666666666,6,1.2257224953209565,0.27488208286496457,0.29601863536525547,0.8333333333333334,6,1.5823875109331327,0.17440714260338694,0.3333333333333333,6,-1.1964668867136783,0.2851489140465829
中性,6,-0.3247872286583093,-0.023840480951751303,0.0458077691203316,0.5,6,0.44648780395643917,0.6739183914770805,0.034036511246074284,0.5,6,0.3170398154823625,0.7640239051556613,0.3333333333333333,6,-0.2716950362496198,0.7967178350002103
流入,5,-0.21936224004727634,0.11167161983594054,-0.13093476491725264,0.2,5,-2.1467969590860125,0.09833442728515694,-0.14707139540335507,0.2,5,-2.200017930153655,0.09265081809961875,0.8,5,0.992786141075958,0.3770092383049107
大幅流入,6,0.10565398202189086,0.6027616502259073,0.07123634088275817,0.6,5,0.2713313610702983,0.799563515930353,0.2783405521786214,0.6,5,0.7251847178536844,0.5084902034250676,1.0,6,3.0159763583403105,0.029552336448338854
