date,industry,close,amount,ret,share,share_chg,amount_yoy,exret,ret_next1,exret_next1,ret_next4,exret_next4,flow_bucket
1999-12-31,交通运输,1000.0,2.0852459832,,0.07315959900885267,,,,0.49366,-0.10929624999999998,0.16946999999999995,0.16386627717979385,
2000-12-31,交通运输,1493.66,2399.7742545145,0.49366,0.05924584713509064,-0.013913751873762037,1149.8350927653282,-0.10929624999999998,-0.17785171993626403,0.06163429435679929,-0.20133095885275096,0.5235324512468101,大幅流出
2001-12-31,交通运输,1228.01,1459.3851864834,-0.17785171993626403,0.06543801935011873,0.006192172215028088,-0.3918656374707007,0.06163429435679929,-0.15027564922109748,0.03978539910421541,-0.14179851955602948,0.43492968422650036,大幅流入
2002-12-31,交通运输,1043.47,1598.4267248255,-0.15027564922109748,0.08984410485512108,0.024406085505002353,0.09527405076458306,0.03978539910421541,0.1207509559450679,0.18372589987655288,0.7097377020901415,0.032789136723570166,大幅流入
2003-12-31,交通运输,1169.47,1995.1357682258001,0.1207509559450679,0.10409136592195437,0.014247261066833286,0.2481871938443776,0.18372589987655288,0.020068920109109323,0.1659553113442382,3.0971893250788813,-0.1886580667808167,大幅流入
2004-12-31,交通运输,1192.94,2464.2100235213,0.020068920109109323,0.09221892784683569,-0.011872438075118674,0.23510893983552328,0.1659553113442382,-0.11656914849028444,-0.0001062586367963636,0.26183211226046565,-0.3498002871002632,大幅流出
2005-12-31,交通运输,1053.88,1973.6934388592,-0.11656914849028444,0.09551667718193071,0.0032977493350950238,-0.19905632230209147,-0.0001062586367963636,0.6928492807530267,-0.2516155484667595,1.55260560974684,-0.5879352292678137,流入
2006-12-31,交通运输,1784.06,6202.0068936612,0.6928492807530267,0.10508029866608505,0.009563621484154336,2.1423354668726953,-0.2516155484667595,1.6857504792439717,-0.07008466117850332,0.3343889779491722,-0.5377839987947192,流入
2007-12-31,交通运输,4791.54,33325.8358709749,1.6857504792439717,0.10957101829594111,0.00449071962985606,4.373395489939842,-0.07008466117850332,-0.6858442170993042,-0.06561737086360375,-0.6657358594522846,-0.5232612135702712,流入
2008-12-31,交通运输,1505.29,15178.235195748,-0.6858442170993042,0.09361323137260659,-0.01595778692333452,-0.5445505026636865,-0.06561737086360375,0.7871240757594882,-0.3663162608087591,0.01899966119485295,-0.5233896366781745,大幅流出
2009-12-31,交通运输,2690.14,26096.297600066,0.7871240757594882,0.08027348062255375,-0.013339750750052837,0.7193235750739033,-0.3663162608087591,-0.11505349163984024,-0.16053180683887486,-0.3997375601269821,-0.28672511344582674,大幅流出
2010-12-31,交通运输,2380.63,21249.7223874474,-0.11505349163984024,0.06589338412009474,-0.014380096502459014,-0.18571888192317143,-0.16053180683887486,-0.3272201056022985,-0.040866804792292766,0.11758232064621572,0.08356022096201156,大幅流出
2011-12-31,交通运输,1601.64,10923.2478621954,-0.3272201056022985,0.0439595667569055,-0.021933817363189237,-0.485958090979675,-0.040866804792292766,-0.04230039209809944,-0.06586907331496765,1.2019617392173025,-0.03532479830052415,大幅流出
2012-12-31,交通运输,1533.89,6859.0367754949,-0.04230039209809944,0.03773174321517739,-0.006227823541728114,-0.3720698402135917,-0.06586907331496765,0.052741722027003224,-0.05165575076332263,0.7795083089400152,-0.06356997513134253,流出
2013-12-31,交通运输,1614.79,12392.497045874,0.052741722027003224,0.05038101649530099,0.0126492732801236,0.8067401373540302,-0.05165575076332263,0.6476136215854695,0.2752647794268923,0.8007728559131528,0.04539436861741379,流入
2014-12-31,交通运输,2660.55,26397.3394955617,0.6476136215854695,0.03815318145925703,-0.012227835036043959,1.1301065796380816,0.2752647794268923,0.32557178027099654,-0.14610005918988417,-0.23679690289601774,-0.17833598512597879,流入
2015-12-31,交通运输,3526.75,98021.130290148,0.32557178027099654,0.03971297627501509,0.0015597948157580616,2.7132958155358313,-0.14610005918988417,-0.22603813709505916,-0.09321993001872955,-0.32472956688168986,-0.1434700021790399,流入
2016-12-31,交通运输,2729.57,32347.8812011534,-0.22603813709505916,0.026415741815908125,-0.013297234459106966,-0.6699907345956747,-0.09321993001872955,0.06532164406847962,0.058694949258790916,-0.12538238623665998,-0.2857376900809886,大幅流出
2017-12-31,交通运输,2907.87,35166.5216298302,0.06532164406847962,0.03248800767219427,0.0060722658562861465,0.08713524113524618,0.058694949258790916,-0.3017088109165815,0.0023386485974216664,-0.157947225976402,-0.3633266558623993,流入
2018-12-31,交通运输,2030.54,23784.2411116139,-0.3017088109165815,0.027073278512383565,-0.005414729159810706,-0.32366807948845344,0.0023386485974216664,0.17284564697075666,-0.10986619688639465,0.16470988013040855,-0.28566038271263416,流出
2019-12-31,交通运输,2381.51,27420.9623444142,0.17284564697075666,0.02220958417476332,-0.004863694337620246,0.15290465715235624,-0.10986619688639465,0.002443827655562947,-0.2438340408146115,-0.16216182170135768,-0.2671761393299599,流出
