date,sh_close,sz_close,hs_close,gz_close,cyb_close,alla_close,amount_yi,sh_ret,sz_ret,hs_ret,gz_ret,cyb_ret,alla_ret,amount_yoy,m1_yoy,m2_yoy,scissors,m1,m2,credit,credit_yoy,credit_sum,rz_yi,rz_buy_yi,rz_chg,north_yi,ipo_yi,ipo_n,eq_fund_raise,fund_n_new,fund_net,aum,aum_chg,sub,red,pe,pb,pe_sh,inc_capital,z_scissors,z_m2,z_credit,z_turnover,z_fundnet,z_ipo,z_margin,z_north,flow_score,flow_bucket,ret_next1,ret_next2,ret_next4,alla_next1,alla_next2,alla_next4,gz_next1,gz_next4
1990-12-31,127.61,,,,,127.61,0.01884,,,,,,,,19.212556019970805,,,6950.7,15293.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058145913329676335,0.07797194577227488,1.294099208525977,-0.058145913329676335,0.07797194577227488,1.294099208525977,,
1991-03-31,120.19,,,,,120.19,1.42707,-0.058145913329676335,,,,,-0.058145913329676335,,24.99,,,7069.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14452117480655624,0.5052833014393874,2.171977701971878,0.14452117480655624,0.5052833014393874,2.1873699975039513,,
1991-06-30,137.56,691.41,,,,137.56,2.22753,0.14452117480655624,,,,,0.14452117480655624,,25.42,,,7280.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3152079092759521,1.1281622564699036,7.659421343413781,0.3152079092759521,1.1281622564699036,8.152878743820876,,
1991-09-30,180.92,413.78,,,,180.92,5.27079,0.3152079092759521,-0.4015417769485544,,,,0.3152079092759521,,25.99,,,7972.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6181185054167588,1.1072297147910677,2.8819367676321024,0.6181185054167588,1.1174552288304223,3.1297258456776476,,
1991-12-31,292.75,963.57,,,,292.75,3.63379,0.6181185054167588,1.3287012422060034,,,,0.6181185054167588,191.8763269639066,24.2,26.5,-2.3000000000000007,8633.3,19349.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30227156276686595,3.0689666951323655,1.6657216054654134,0.3085909479077711,3.3008368915456865,1.7866780529461994,,
1992-03-31,381.24,1263.9,,,,383.09,2.79999,0.30227156276686595,0.3116846726236806,,,,0.3085909479077711,0.9620551199310476,25.51,,,8872.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1245147413702656,0.8421991396495646,1.4286800965271216,2.286616721919131,0.9503249889060009,1.486125975619306,,
1992-06-30,1191.19,2631.82,,,,1259.07,23.11903,2.1245147413702656,1.0823008149378905,,,,2.286616721919131,9.37877379878161,32.77,,,9666.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4104047213290911,-0.3448652188147988,-0.15458491088743204,-0.4065858133384165,-0.352061442175574,-0.16378755748290394,,
1992-09-30,702.32,2548.46,,,,747.15,55.19089,-0.4104047213290911,-0.03167389867088177,,,,-0.4065858133384165,9.47108497967098,32.42,,,10556.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111601549151382,0.3183591525230662,0.2676130538785738,0.09188248678310917,0.27472395101385283,0.2338352405808743,,
1992-12-31,780.39,2309.77,,,,815.8,100.59907,0.1111601549151382,-0.0936604851557411,,,,0.09188248678310917,26.684337840106334,35.9,31.3,4.599999999999998,11731.5,25402.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1864708671305373,0.29044452132907916,0.06844013890490656,0.1674552586418241,0.2905736700171612,0.039164010786957734,,
1993-03-31,925.91,2908.97,,,,952.41,445.14919,0.1864708671305373,0.25941976906791586,,,,0.1674552586418241,157.98242136579057,51.52,,,13444.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08763270728256534,-0.03849186206002734,-0.239170113725956,0.10545878350710303,-0.032076521666089076,-0.23733476128978065,,
1993-06-30,1007.05,2338.18,,,,1052.85,452.64366,0.08763270728256534,-0.19621721777811385,,,,0.10545878350710303,18.57883440611479,45.0,,,14016.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11596246462439797,-0.17203713817586022,-0.5339953329030336,-0.12441468395307964,-0.19480457805005458,-0.5490050814456,,
1993-09-30,890.27,2226.58,,,,921.86,692.15059,-0.11596246462439797,-0.04772943058276091,,,,-0.12441468395307964,11.541029688051777,30.3,,,13755.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.5497404686516805,,,,,-0.5497404686516805,大幅流出,-0.06343019533399985,-0.20871196378626708,-0.11133701012052544,-0.08039181654481165,-0.21206039962684148,-0.11756665871173502,,
