quarter,sh_ret,alla_ret,flow_score,flow_bucket,scissors,m2_yoy,amount_yoy,north_yi,rz_chg,ipo_yi,inc_capital,ret_next1,ret_next4,alla_next1
1990Q4,,,,,,,,,,,,-0.058145913329676335,1.294099208525977,-0.058145913329676335
1991Q1,-0.058145913329676335,-0.058145913329676335,,,,,,,,,,0.14452117480655624,2.171977701971878,0.14452117480655624
1991Q2,0.14452117480655624,0.14452117480655624,,,,,,,,,,0.3152079092759521,7.659421343413781,0.3152079092759521
1991Q3,0.3152079092759521,0.3152079092759521,,,,,,,,,,0.6181185054167588,2.8819367676321024,0.6181185054167588
1991Q4,0.6181185054167588,0.6181185054167588,,,-2.3000000000000007,26.5,191.8763269639066,,,,,0.30227156276686595,1.6657216054654134,0.3085909479077711
1992Q1,0.30227156276686595,0.3085909479077711,,,,,0.9620551199310476,,,,,2.1245147413702656,1.4286800965271216,2.286616721919131
1992Q2,2.1245147413702656,2.286616721919131,,,,,9.37877379878161,,,,,-0.4104047213290911,-0.15458491088743204,-0.4065858133384165
1992Q3,-0.4104047213290911,-0.4065858133384165,,,,,9.47108497967098,,,,,0.1111601549151382,0.2676130538785738,0.09188248678310917
1992Q4,0.1111601549151382,0.09188248678310917,,,4.599999999999998,31.3,26.684337840106334,,,,,0.1864708671305373,0.06844013890490656,0.1674552586418241
1993Q1,0.1864708671305373,0.1674552586418241,,,,,157.98242136579057,,,,,0.08763270728256534,-0.239170113725956,0.10545878350710303
1993Q2,0.08763270728256534,0.10545878350710303,,,,,18.57883440611479,,,,,-0.11596246462439797,-0.5339953329030336,-0.12441468395307964
1993Q3,-0.11596246462439797,-0.12441468395307964,-0.5497404686516805,大幅流出,,,11.541029688051777,,,,,-0.06343019533399985,-0.11133701012052544,-0.08039181654481165
1993Q4,-0.06343019533399985,-0.08039181654481165,-0.5280140494049375,大幅流出,1.4699999999999989,37.31,10.239217221391808,,,,,-0.155121132165987,-0.22299112497001694,-0.1431790032438809
1994Q1,-0.155121132165987,-0.1431790032438809,-0.5995320912730265,大幅流出,,,1.9407027787695177,,,,,-0.33383016778809305,-0.0816795843624907,-0.3462973415752303
1994Q2,-0.33383016778809305,-0.3462973415752303,-0.5551621187132493,大幅流出,,,2.6479820351399597,,,,,0.6858445737177437,0.3436894031409149,0.7132026198850117
1994Q3,0.6858445737177437,0.7132026198850117,-0.44806341794644605,流出,,,8.34472807427644,,,,,-0.1811034569929849,-0.08686089869177793,-0.17911933913556577
1994Q4,-0.1811034569929849,-0.17911933913556577,-0.5211475427017295,流出,-8.3,34.5,1.8944767757586134,,,,,-0.0014663435565778205,-0.1428990383873309,0.002366084130763557
1995Q1,-0.0014663435565778205,0.002366084130763557,-0.52824583941935,大幅流出,,,-0.11211567649143439,,,,,-0.025258146293204553,-0.13994002349595008,-0.023604989915589902
1995Q2,-0.025258146293204553,-0.023604989915589902,-0.5019183245420786,流出,,,0.19226606102093435,,,,,0.14565955152399357,0.2754146975800053,0.1477775227603091
1995Q3,0.14565955152399357,0.1477775227603091,-0.49279505954466096,流出,,,-0.4245310288413159,,,,,-0.23135805545173926,0.21191672549589563,-0.2332129097623078
1995Q4,-0.23135805545173926,-0.2332129097623078,-0.47363284874867234,流出,-12.7,29.5,-0.31593182812606835,,,,,0.0019809468926146323,0.6514217796106538,-0.00027816895286791876
1996Q1,0.0019809468926146323,-0.00027816895286791876,-0.4539672673302816,流出,,,-0.0727629949547629,,,,,0.445480688006614,1.2189776955013567,0.4625254334556459
1996Q2,0.445480688006614,0.4625254334556459,-0.3952833916197681,流出,,,2.506072432909798,,,,,0.0886215870418563,0.554579353957906,0.09268771789639918
1996Q3,0.0886215870418563,0.09268771789639918,-0.4058981565611162,流出,,,1.2910259652903195,,,,,0.04739213614688342,0.2533999600239857,0.039215579587919214
1996Q4,0.04739213614688342,0.039215579587919214,-0.32837533471452185,中性,-6.400000000000002,25.3,4.929176566229087,,,,,0.3463388941111296,0.30215764576049753,0.3543298676520945
